Date,Brand-Names,Product-Description,Product-Types,Recall-Reason-Description,Company-Name,Terminated Recall
07/27/2021,Cahill,Cheddar cheese products,Food & Beverages,Potential Listeria monocytogenes,Whole Foods Market,Terminated
07/28/2021,BrightFarms,Baby Spinach,"Food & Beverages, Foodborne Illness, Produce",Potential for Salmonella,BrightFarms,
07/29/2021,"Triumph, Evolve, Nature Farms, Elm and others",Dog Food,"Animal & Veterinary, Food & Beverages, Pet Food",Elevated Levels of Aflatoxin,"Sunshine Mills, Inc.",Terminated
07/29/2021,"Cahill’s Farm Cheese, Lidl",Cheddar Cheese,Food & Beverages,Potential Listeria monocytogenes,Cahill’s Farm Cheese,
08/02/2021,365 Skinny,High Intensity Pills and Emergency Boutique,Dietary Supplements,Product contains sibutramine,Je Dois L’avoir Boutique,Terminated
08/02/2021,Nature's Sunshine,Love & Peas Protein Rich Meal Replacement,Food & Beverages,Undeclared milk,Nature's Sunshine,Terminated
08/02/2021,BD,Alaris System,Medical Devices,Infusion pump may not operate as expected,"Becton, Dickinson and Company",
08/02/2021,Golden Natural Product Inc.,Dried Apricot,Food & Beverages,Undeclared sulfites,Golden Natural Product Inc.,
08/04/2021,Multiple brand names,Ultrasound Gel,Medical Devices,Product is contaminated with bacteria (Burkholderia cepacia complex),Eco-Med Pharmaceutical,
08/04/2021,DSD Merchandisers,Dark Chocolate Malt Balls,Food & Beverages,Undeclared peanuts,"DSD Merchandisers, Inc.",
08/06/2021,"KVK Tech, Inc.","Atovaquone Oral Suspension, USP 750 mg/5mL",,Temperature abuse,"KVK Tech, Inc.",Terminated
08/08/2021,"HiPP, Holle, Bioland, Kendamil",Products labeled as infant formula,Food & Beverages,Products do not meet FDA requirements.,Able Groupe,
08/10/2021,"SterRx, LLC","Sodium Bicarbonate in 5% Dextrose Injection 150mEq per 1,000 mL",Drugs,Due to waterborne microbial contamination,"SterRx, LLC",Terminated
08/10/2021,Ballreich’s,BAR-B-Q Potato Chips,Food & Beverages,Salmonella,Ballreich Snack Food Co.,Terminated
08/11/2021,Max Health,Hydro Pineapple Burn,"Dietary Supplements, Drugs",undeclared sibutramine,Ebay Seller-John Nguyen,
08/11/2021,Lay’s,Wavy Lay’s Original Potato Chips,Food & Beverages,Undeclared milk,Frito-Lay,Terminated
08/12/2021,Marketside,Chocolate Candy Cookie Cake,"Food & Beverages, Allergens, Bakery Product/Mix",May contain undeclared peanuts,Jimmy’s Cookies LLC,Terminated
08/13/2021,"Various: Big River, 365, Seacove, Ahold, Censea, First Street, Meijer and others","Frozen cooked, peeled and deveined, tail on shrimp","Food & Beverages, Foodborne Illness, Shellfish",Potential to be contaminated with Salmonella,Avanti Frozen Foods Pvt. Ltd,
08/13/2021,Simply Nourish,Frozen dog food,"Animal & Veterinary, Food & Beverages, Pet Food",Due to elevated levels of Vitamin D,Wet Noses Natural Dog Treat Company,Terminated
08/14/2021,Genji Pacific LLC.,sushi containing cocktail shrimp,Food & Beverages,Salmonella,Genji Pacific LLC.,
08/14/2021,Mai Franchising Inc.,sushi containing cocktail shrimp,Food & Beverages,Salmonella,Mai Franchising Inc.,
08/14/2021,Mai Cuisine Inc.,Shrimp Tempura Kabuki Roll,Food & Beverages,Salmonella,Mai Cuisine Inc.,
08/16/2021,Hostess,Hamburger and Hot Dog Buns,Food & Beverages,Listeria monocytogenes and Salmonella,"Hostess Brands, LLC",Terminated
08/16/2021,Gordon Choice,Deli Style Tuna and Chicken Salads,Food & Beverages,Undeclared tuna and wheat,"RMH Foods, LLC",Terminated
08/16/2021,CHANTIX,Smoking cessation treatment,Drugs,N-Nitroso Varenicline content above acceptable daily intake level,Pfizer,
08/20/2021,Monoject,Flush Prefilled Saline Syringes,Medical Devices,Products have been found to reintroduce air into the syringe after the air has been expelled,Cardinal Health,
08/23/2021,Loki Fish Co.,Keta Salmon Lox,Food & Beverages,Listeria monocytogenes,Loki Fish Company,Terminated
08/24/2021,Spectrum IQ,Infusion Pumps,Medical Devices,Multiple Connectivity Errors,Baxter International Inc.,
08/25/2021,Jimbo’s Kitchen dba New England Cupboard,Bloody Mary Mix,Food & Beverages,"Undeclared Soy, Wheat, & Sulfites",Jimbo’s,Terminated
08/26/2021,Top Quality Dog Food.com,Beef HVM,Animal & Veterinary,Potential Salmonella & Listeria monocytogenes contamination,Top Quality Dog Food,
09/03/2021,Teligent,Lidocaine HCl Topical Solution 4%,Drugs,Super potency,"Teligent Pharma, Inc.",
08/30/2021,Rocky Top Farms,Cherry Butter,"Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared milk,Rocky Top Farms,Terminated
08/31/2021,Banoful,Banoful Top Orange Biscuit,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,KBF Inc.,Terminated
09/02/2021,The Baking Institute Bakery Co.,Carrot Cake,"Food & Beverages, Allergens, Bakery Product/Mix","Undeclared walnuts, coconuts and milk",The Baking Institute Bakery Co.,
09/02/2021,"Meridian Bioscience, Inc.",LeadCare® Test Kits,Medical Devices,LeadCare Test Kits lots could potentially underestimate blood lead levels when processing patient blood samples,"Meridian Bioscience, Inc.",
09/02/2021,Weis Markets,Crab Cake Meal,"Food & Beverages, Allergens, Shellfish",Undeclared milk,Weis Markets,
09/08/2021,Azurity,Firvanq,Drugs,Product kit may contain incorrect diluent.,"Azurity Pharmaceuticals, Inc.",Terminated
09/10/2021,Dole,Curly leaf parsley,"Food & Beverages, Foodborne Illness, Produce",Non-O157 Shiga-toxin producing E. coli,"Dole Fresh Vegetables, Inc.",Terminated
09/11/2021,Little Debbie®,Mini Nutty Buddy Cookie Bites Sandwich Cookies,"Food & Beverages, Allergens, Snack Food Item",Undeclared pecans,McKee Foods,Terminated
09/13/2021,Ruzurgi®,Ruzurgi® (amifampridine) 10 mg tablets,Drugs,Exceeds Specification for Total Yeast and Mold Counts,Jacobus Pharmaceutical Company Inc.,Terminated
09/14/2021,Velvet,Raspberry Fudge Cordial Ice Cream,Food & Beverages,May contain undeclared peanuts,Velvet Ice Cream,
09/14/2021,H-E-B,Jumbo Stuffed Shells,Food & Beverages,Presence of foreign material (metal),"SEVIROLI FOODS, INC.",Terminated
09/15/2021,Buurma,Plain (Flat Leaf) Parsley,Food & Beverages,May contain Shiga-toxin producing E.coli,Buurma Farms Inc.,Terminated
09/16/2021,Kroger,Bagged Kale Product,Food & Beverages,Listeria monocytogenes,The Kroger Co,Terminated
09/16/2021,Simply Nature,Organic Poppy Seed Dressing,"Food & Beverages, Foodborne Illness",Potential for microbial growth,"Drew’s Organics, LLC",Terminated
09/16/2021,CHANTIX,Varenicline tablets,Drugs,N-nitroso-varenicline above acceptable daily intake level,Pfizer,
09/17/2021,"Baker Farms, Kroger & SEG Grocers",Bagged Kale,Food & Beverages,Potential of Listeria monocytogenes,Baker Farms,
09/18/2021,Joy,Coriander Chutney,Food & Beverages,"Undeclared Sulfites, Coconut, FD&C Yellow #5",Joy Gourmet Foods Inc.,Terminated
09/20/2021,Green Field Farms,Whole chocolate milk,Food & Beverages,Product was not effectively pasteurized.,Green Field Farms Dairy,Terminated
09/21/2021,"IntegraDose Compounding Services, LLC",Cefazolin,"Drugs, Pharmaceutical Quality",Lack of sterility assurance.,"IntegraDose Compounding Services, LLC",Terminated
09/24/2021,Whole Foods Market,Apple Pie and Cherry Pie,Food & Beverages,Undeclared milk and eggs,Whole Foods Market,
09/24/2021,Multiple brand names,Roasted salted cashew halves & pieces and trail mix containing roasted salted cashews,Food & Beverages,Potential presence of glass pieces.,"SunTree Snack Foods, LLC",
09/26/2021,Lilly,Glucagon Emergency Kit,Drugs,Loss of potency,Eli Lilly and Company,
09/27/2021,"Picket Fence Creamery, LLC",taco white cheddar cheese curds and key lime pie ice cream,Food & Beverages,Undeclared wheat,"Picket Fence Creamery, LLC",Terminated
09/28/2021,Vemondo by Lidl,Vegan Crabless Mini Crabcakes,"Food & Beverages, Allergens, Seafood/Seafood Product",Undeclared egg yolks,"Cuisine Innovations Unlimited, LLC",Terminated
09/30/2021,Tone’s,Taco Seasoning Blend,Food & Beverages,Undeclared wheat,B&G Foods Inc.,Terminated
09/30/2021,Coppertone,Coppertone aerosol sunscreen spray products,"Cosmetics, Drugs, Skin Care Products",Presence of benzene,"Coppertone, owned by Beiersdorf",Terminated
10/01/2021,Fromm Four-Star Nutritionals,Shredded Entrée canned dog food,"Animal & Veterinary, Food & Beverages, Ingredients, Ingredients, Pet Food",Elevated levels of Vitamin D,Fromm Family Foods,Terminated
10/02/2021,Greenhead,Frozen cooked wild caught lobster meat,Food & Beverages,Potential contamination with Listeria monocytogenes,Greenhead Lobster Products,Terminated
10/06/2021,Chocolate and the Chip,Bakery Products,"Food & Beverages, Allergens, Snack Food Item","Undeclared allergens (wheat, milk, soy, tree nuts)",Chocolate and the Chip,Terminated
10/07/2021,Simple Mills,Fine Ground Sea Salt Almond Flour Crackers,Food & Beverages,Undeclared milk,Simple Mills,Terminated
10/07/2021,Fullei Fresh,Bean Sprouts and Soy Sprouts,"Food & Beverages, Foodborne Illness, Vegetable Products",Listeria monocytogenes,Fullei Fresh,Terminated
10/08/2021,Parent’s Choice,Rice Baby Cereal,Food & Beverages,Tested above the guidance for naturally occurring inorganic arsenic.,Maple Island Inc.,
10/08/2021,Northeast Seafood Products,"Raw, fresh seafood","Food & Beverages, Foodborne Illness",Potential for Salmonella,Northeast Seafood Products,Terminated
10/09/2021,Nature’s Heart,Fruit and trail mix products,Food & Beverages,Undeclared peanuts,Nestlé Professional,Terminated
10/12/2021,Nutri Source,Pure Vita Salmon Entrée Dog Food,"Animal & Veterinary, Pet Food",Elevated Levels of Vitamin D,"Tuffy’s Pet Foods, Inc.",Terminated
10/12/2021,"Teligent Pharma, Inc.",Lidocaine Hydrochloride Topical Solution USP 4% (40 mg/mL),Drugs,Super Potent,"Teligent Pharma, Inc.",
10/14/2021,Lupin,"Irbesartan and Hydrochlorothiazide Tablets USP, 150mg/12.5 mg and 300mg/12.5 mg",Drugs,"API batches above the specification limit for the impurity, N-nitrosoirbesartan","Lupin Pharmaceuticals, Inc.",Terminated
10/19/2021,Cook Medical,Transseptal Needle and Transseptal Needle Catheter,Medical Devices,Complaints of rust on the products,Cook Medical,
10/19/2021,Ivar’s,Kettle Classic Clam Chowder with Uncured Bacon,"Food & Beverages, Soup",Potential for hard plastic opaque pieces,Ivar’s Soup and Sauce Company,Terminated
10/19/2021,Bryant Ranch Prepack,Methocarbamol 500mg,Drugs,Bottles labeled as Methocarbamol 500mg tablets were found to contain Methocarbamol 750mg tablets.,Bryant Ranch Prepack,
10/20/2021,CUBICIN,Daptomycin for injection 500mg,Drugs,Product contains particulate matter identified as glass,Merck,
10/21/2021,"Big Bull, Peak Fresh Produce, Sierra Madre, Markon First Crop., Markon Essentials, Rio Blue, ProSource, Rio Valley, and Sysco Imperial","Whole raw red, yellow, white onions","Food & Beverages, Foodborne Illness, Produce",Potential Salmonella Contamination,ProSource Produce LLC,Terminated
10/21/2021,Smilin’ Bob’s,Smoked Fish Dip,"Food & Beverages, Allergens, Prepared Food",Undeclared egg allergen,Smilin’ Bob’s,Terminated
10/22/2021,MVP,"Red, yellow, and white onions","Food & Beverages, Foodborne Illness, Produce",Potential Salmonella Contamination,Keeler Family Farms,
10/23/2021,HelloFresh,Onions in Meal Kits,"Food & Beverages, Foodborne Illness",Potential Salmonella Contamination,HelloFresh,
10/23/2021,EveryPlate,Onions in Meal Kits,"Food & Beverages, Foodborne Illness",Potential Salmonella Contamination,EveryPlate,
10/23/2021,Green Giant,"Red, yellow, and white onions","Food & Beverages, Foodborne Illness",Potential Salmonella Contamination,Potandon Produce LLC,Terminated
10/25/2021,Cedar’s,Organic Mediterranean Hommus,Food & Beverages,Undeclared pine nut,Cedar’s Mediterranean Foods,Terminated
10/26/2021,Green Giant,Yellow and white onions,Food & Beverages,Potential Salmonella contamination,Potandon Produce LLC,Terminated
10/27/2021,artnaturals,Scent Free Hand Sanitizer,Drugs,Due to Presence of Impurities,artnaturals,
06/25/2021,"Censea, Hannaford, Open acres,  Honest catch, COS and others","Frozen shrimp, cooked, peeled and deveined, tail on","Food & Beverages, Foodborne Illness, Shellfish",Salmonella,Avanti Frozen Foods Pvt. Ltd,
03/10/2022,Olympia Pharmaceuticals,Compounded Injectables,Drugs,Products are out of specification,Olympia Pharmacy,
03/10/2022,Albanese,Dark Chocolate Espresso Beans,Food & Beverages,Undeclared peanuts,"Albanese Confectionary Group, Inc.",Terminated
03/10/2022,Schwan’s,Spinach and Artichoke Dip,Food & Beverages,Undeclared soy and wheat,"Fairmont Foods, Inc.",Terminated
03/11/2022,Flowflex™,SARS-CoV-2 Antigen Rapid Test (Self-Testing),"Medical Devices, Counterfeit",Unauthorized U.S. distribution-counterfeited product,"ACON Laboratories, Inc.",
03/17/2022,Cavendish Farms,Hash Brown Patties,Food & Beverages,Undeclared wheat,Cavendish Farms Corporation,Terminated
03/18/2022,The Salsa Texan,Coconut Flour Tortillas,"Food & Beverages, Allergens",Undeclared wheat,The Salsa Texan,
03/18/2022,Jergens,Ultra Healing Moisturizer,"Cosmetics, Skin Care Products","Presence of Pluralibacter gergoviae, a bacterium",Kao USA Inc.,
03/18/2022,Kroger,Buttermilk Pancake & Waffle Mix,Food & Beverages,Potential foreign material contamination,Continental Mills,
03/18/2022,Taiwan Best Quality,Enoki Mushrooms,Food & Beverages,Listeria monocytogenes,"Jan Fruits, Inc.",Terminated
03/19/2022,St. Benoit Creamery,French Vanilla Yogurt,Food & Beverages,Undeclared egg,St. Benoit Creamery,Terminated
03/19/2022,Great Value,Buttermilk Pancake & Waffle Mix,Food & Beverages,Potential foreign material contamination,Continental Mills,
03/19/2022,Yes!,Enoki Mushrooms,Food & Beverages,Listeria monocytogenes,T Fresh Company,
03/20/2022,"Wegmans, Fresh Harvest, Lexington Co-op, Tops",Fresh cut fruit and vegetable products,Food & Beverages,Listeria monocytogenes,"Fruit Fresh Up, Inc.",
03/21/2022,"Top Quality Produce, Inc",Enoki Mushroom,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes,"Top Quality Produce, Inc",
03/22/2022,Sandoz,Orphenadrine Citrate 100 mg Extended Release (ER) Tablets,Drugs,Presence of a Nitrosamine Impurity,"Sandoz, Inc.",
03/22/2022,Adamis Pharmaceuticals Corporation,SYMJEPI (epinephrine) Injection 0.15 mg (0.15 mg/0.3 mL) and 0.3 mg (0.3 mg/0.3 mL) Pre-Filled Single-Dose Syringes,Drugs,Potential clogging of the needle preventing the dispensing of epinephrine,Adamis Pharmaceuticals Corporation,Terminated
03/22/2022,"Accuretic, Greenstone Brand",Accuretic™ (quinapril HCl/hydrochlorothiazide); quinapril and hydrochlorothiazide; and quinapril HCl/hydrochlorothiazide tablets,Drugs,"Presence of a nitrosamine, N-nitroso-quinapril",Pfizer,
03/22/2022,TWA,Agriculture mixed mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes contamination,Farm Fresh Product LLC,Terminated
03/23/2022,A&C Best Food Trading Inc.,Licorice Flavor Olive,"Food & Beverages, Allergens",Undeclared Sulfite,A&C Best Food Trading Inc.,
03/23/2022,Global Fresh Marketing,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes contamination,WiseTrade Corporation,Terminated
03/23/2022,Jergens,Ultra Healing Moisturizer,"Cosmetics, Skin Care Products","Presence of Pluralibacter gergoviae, a bacterium",Kao USA Inc.,Terminated
03/24/2022,A&C Best Food Trading Inc.,Dried Wife Plum,"Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared Sulfite and unapproved dye E123,A&C Best Food Trading Inc.,
03/24/2022,Good & Gather,Dried Sweetened Strawberries,"Food & Beverages, Allergens",Undeclared Sulfites,SunTree Snack Foods,Terminated
03/24/2022,Major Pharmaceuticals,"Magnesia Oral Suspension 2400 mg/30 mL, Magnesium Hydroxide 1200mg/Aluminum Hydroxide 1200mg/Simethicone 120mg per 30 mL, and Acetaminophen 650mg/ 20.3mL",Drugs,Microbial Contamination,"Plastikon Healthcare, LLC",
03/28/2022,Wilton,Ready to Build Chocolate Cookie Bunny Hutch Kit,Food & Beverages,Undeclared Milk,"Wilton Industries, Inc.",
03/29/2022,Carol's Cuts,Fruit Trays Containing Cantaloupe,"Food & Beverages, Foodborne Illness, Fruit/Fruit Product",Potential for Salmonella,"Liberty Fruit Company, Inc.",
03/30/2022,Suave,Aerosol Antiperspirants,"Cosmetics, Drugs, Deodorant",Elevated levels of benzene,Unilever,
03/30/2022,Skippy,Reduced Fat Creamy and Chunky Peanut Butter,Food & Beverages,May contain a small fragments (stainless steel),"Skippy Foods, LLC",Terminated
04/01/2022,"F&S Medical Supply, dba Pink Toyz",Pink Pussycat Capsules,Drugs,Undeclared Sildenafil,"F&S Medical Supply, dba Pink Toyz",
04/01/2022,"Mickey Mouse, The Mandalorian",Hand Sanitizer,Drugs,Presence of Methanol in Mickey Mouse and Presence of Benzene in The Mandalorian,"Best Brands Consumer Products, Inc.",
04/01/2022,Happy Face Cookies,Cookies,Food & Beverages,Undeclared Milk,"Giant Eagle, Inc.",
04/12/2022,Mylan,Insulin Glargine (Insulin glargine-yfgn) Injection,Drugs,Label may be missing on some vials,"Mylan Pharmaceuticals, Inc. a Viatris Company",
04/12/2022,O Organics,Sea Salt Organic Popcorn,Food & Beverages,Undeclared milk,Snak King Corporation,Terminated
04/15/2022,The Salsa Texan,Tortillas,"Food & Beverages, Allergens",Undeclared wheat and milk,The Salsa Texan,
04/19/2022,Organic Marketside,Organic Zucchini,"Food & Beverages, Foodborne Illness, Organic Food / Home Grown",Salmonella,"World Variety Produce, Inc.",Terminated
04/20/2022,Babyganics,Chamomile verbena bubble bath,Cosmetics,"Presence of the bacterium Pluralibacter gergoviae, a bacterium",Babyganics,
04/21/2022,Whole Foods Market,"Red Lentil Dal, which includes Pickled Curry Cauliflower",Food & Beverages,Listeria monocytogenes contamination,Bakkavor USA,Terminated
04/21/2022,Hippie Organics,French Beans,"Food & Beverages, Foodborne Illness, Organic Food / Home Grown",Listeria monocytogenes contamination,"Alpine Fresh, Inc.",Terminated
04/22/2022,Pfizer,"Accupril (Quinapril HCl) tablets 10mg, 20mg, 40 mg",Drugs,Due to N-Nitroso-Quinapril Content,Pfizer,
04/28/2022,Gorton’s,Fish Sandwich,Food & Beverages,Presence of bone fragments,Gorton’s Seafood,Terminated
04/28/2022,Elite,Confectionery Products,Food & Beverages,Potential Salmonella contamination,Strauss Israel,
04/29/2022,H-E-B Bakery,Two-Bite Brownies,Food & Beverages,May contain metal fragments,H-E-B,
05/01/2022,"Pimlico Confectioners, Keats London",Vegan Chocolate Products,Food & Beverages,Undeclared Milk,The TJX Companies,Terminated
05/02/2022,Fagron,SyrSpend SF 500mL and 4L,Drugs,Potential contamination with Burkholderia gladioli,Fagron Inc.,
05/02/2022,Philips Respironics,"V60/V60 Plus, and V680",Medical Devices,A potential issue with the electrical circuit in these ventilators that controls the 35V power supply to the ventilator and alarm,Philips Respironics,
05/03/2022,Bee,Chocolate Candy Products,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared Tree Nuts,Queen Bee Gardens,
05/05/2022,Matiz,Valencia Almonds,Food & Beverages,May Contain Undeclared Peanuts,New Seasons Market LLC,Terminated
05/06/2022,NaturesPlus,Keto Living Sugar Control Capsules,Food & Beverages,Undeclared Gluten,"NATURAL ORGANICS, INC",
05/06/2022,"Grandma’s Cuisine, Bernat’s, Golden Eagle",Cheese-filled Pierogis,,Undeclared Milk,Dymski Pierogies dba Grandma’s Cuisine,Terminated
05/10/2022,Van Leeuwen,Oat Milk Brown Sugar Chunk non-dairy frozen dessert,Food & Beverages,Undeclared tree nuts (cashew & pistachio),Van Leeuwen Ice Cream,Terminated
05/12/2022,Planet Oat,Planet Oat Chocolate Chip Cookie Dough and Plant Oat Chocolate Peanut Butter Swirl frozen dessert,Food & Beverages,Undeclared peanuts,HP Hood LLC,
05/13/2022,Mrs Millers Homemade Jams,Smokey BBQ Bacon Jam and Spicy Chili Bacon Jam,Food & Beverages,Undeclared soy,Mrs Millers Homemade Jams,Terminated
05/13/2022,"Skittles, Starburst, Life Savers",Gummies,"Food & Beverages, Contaminants, Candy/Gum (without chocolate)",Possible presence of metal fragments.,"Mars Wrigley Confectionary US, LLC",Terminated
05/18/2022,Dierbergs Markets,Fresh Garden Spiral Pasta Salad,Food & Beverages,Undeclared Egg,Dierbergs Markets,Terminated
05/19/2022,QueensMade Lemonade LLC,Lemon Juice Flavors and Ginger Turmeric Shots,Food & Beverages,Improper Processing,QueensMade Lemonade LLC,
05/19/2022,White Cane Sockeye Salmon LLC,Wild Alaskan Cooked and Smoked Salmon,"Food & Beverages, Allergens, Fish",Undeclared Wheat and Soy,White Cane Sockeye Salmon LLC,Terminated
05/20/2022,Jif®,Select Jif® Peanut Butter products,Food & Beverages,Potential Salmonella Contamination,The J. M. Smucker Co.,Terminated
05/22/2022,Blue Moose,Spinach Artichoke Parmesan Dip,Food & Beverages,Undeclared Tree Nut (Cashew) and Soy Allergens,Blue Moose of Boulder LLC,Terminated
05/23/2022,Teva,Anagrelide Capsules,Drugs,Dissolution Test Failure,Teva Pharmaceuticals USA,
05/23/2022,Wilbur,Multiple Chocolate Products,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Cargill,Terminated
05/14/2022,Wisco Pop!,Wisco Pop,Food & Beverages,Potential for cans to burst due to over carbonation,Wisco Pop!,
05/21/2022,Wawa,Apple & Peanut Butter Dipper,Food & Beverages,Salmonella,Wawa,Terminated
05/24/2022,Fresh Seasons,Power Packs,Food & Beverages,Salmonella,"TAHER, INC",Terminated
05/24/2022,Multiple brand names,Fresh Cut Fruit Snack Trays and Fruit Snack Cups,Food & Beverages,Salmonella,Country Fresh,Terminated
05/24/2022,Garden Cut,Apple Wedges and Celery Bites with Peanut Butter,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,"Garden Cut, LLC",
05/24/2022,Mary’s Harvest,Celery and Apple Peanut Butter Cups,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Mary’s Harvest Fresh Foods Inc.,Terminated
05/25/2022,Red Button Vintage Creamery,Canadian Vanilla Ice Cream,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared almonds,Casper’s Ice Cream,Terminated
05/26/2022,Jack & Olive and Created Fresh!,Egg and Cheese Curds snack and power boxes,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Bix Produce Company,Terminated
05/26/2022,Euphoria Chocolate,Chocolate candy,"Food & Beverages, Foodborne Illness, Peanut Butter",Salmonella,Euphoria Chocolate Company,Terminated
12/27/2021,"Fresh Express, Bowl and Basket, Giant Eagle, Marketside and Others",Multiple Fresh Salad Products,Food & Beverages,Possible Listeria monocytogenes.,Fresh Express,
12/21/2021,Dream Pops,Dream Pops Bites,Food & Beverages,May Contain Undeclared Milk,Dream Pops,Terminated
12/21/2021,HAIFA SMOKED FISH,TURBOT COLD SMOKED,Food & Beverages,Potential for Listeria monocytogenes,HAIFA SMOKED FISH,Terminated
12/22/2021,Local Fixe LLC,"Lasagna, Noodles, Rolls, Pie Dough, Fettucine, and Tortillas",Food & Beverages,Undeclared Wheat,Local Fixe LLC,Terminated
12/22/2021,Joy’s Gourmet,Bloody Mary Mix,Food & Beverages,Contains Undeclared Soy & Fish.,Joy’s International Foods,Terminated
12/22/2021,"Dole, Ahold, Kroger, Lidl, and Others",Salads,"Food & Beverages, Foodborne Illness, Produce",Potential for Listeria monocytogenes,Dole Fresh Vegetables Inc.,Terminated
12/23/2021,Woody's Pet Food Deli,Raw Cornish Hen pet food “With Supplements”,"Animal & Veterinary, Food & Beverages, Pet Food",Potential Salmonella,Woody’s Pet Food Deli,
