FacName,FacStreet,FacCity,FacState,RegistryID,FacSNCFlg,FacQtrsWithNC,FacInspectionCount,FacFormalActionCount,FacMapFlg,SupOver80CountUsDisp,"DFR URL"
"2022 SEWER AND WATER SYSTEM IMPROVEMENTS","THROUGHOUT THE CITY OF OMAK",OMAK,WA,110071309324,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071309324
"205 PINE ROAD LLC","205 PINE RD",HAMMONTON,NJ,110070665167,Y,12,0,1,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110070665167
"21 MILE RANCH","15251 HWY 87 NORTH",SHEPHERD,MT,110023137185,Y,7,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110023137185
"21 PALMS RV RESORT",,,FL,110053784151,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110053784151
"2154 BUCHANAN LOOP","2154 BUCHANAN LOOP",FERNDALE,WA,110071296514,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071296514
"218TH AVENUE SE ROADWAY PRESERVATION PROJECT #1136086",UNSPECIFIED,AUBURN,WA,110071179939,Y,2,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071179939
"2275 WADSWORTH","2275 WADSWORTH",LAKEWOOD,CO,110071409125,Y,1,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110071409125
"236TH ST NE CORRIDOR IMPROVEMENT PROJECT",UNSPECIFIED,ARLINGTON,WA,110071176998,Y,4,1,0,Y,I,https://echo.epa.gov/detailed-facility-report?fid=110071176998
"23RD PLACE PUD",UNSPECIFIED,RIDGEFIELD,WA,110071181257,Y,6,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071181257
"25 DEGREES","18226 68TH AVE NE",KENMORE,WA,110071337935,Y,2,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071337935
"250 WEST FORT LEE ROAD","250 WEST FORT LEE RD","BOGOTA BORO",NJ,110070505886,Y,6,7,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070505886
"25TH AVE SITE PLAN","9701 NE 25TH AVE",VANCOUVER,WA,110071177418,Y,6,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177418
"25TH AVENUE ELEMENTARY SCHOOL","8614 NE 25TH AVENUE",VANCOUVER,WA,110071181454,Y,6,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071181454
"25TH ST TOWNHOMES SUBDIVISION",UNSPECIFIED,"BATTLE GROUND",WA,110071235124,Y,5,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071235124
"2602 172ND LAKEWOOD","2602 172ND ST NE",MARYSVILLE,WA,110071179428,Y,8,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071179428
"2704 SH, LLC","2704 SPRING HILL RD","OWINGS MILLS",MD,110070027384,Y,6,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070027384
"2877 ELWOOD LLC","2877 ELWOOD RD",HAMILTON,NJ,110070261585,Y,12,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070261585
"29 PALMS TRAILER PARK-29 PALMS TRAILER PARK TP","MARY SMYCZYNSKI/ 29 PALMS",ANGIE,LA,110020595934,Y,11,0,1,Y,,https://echo.epa.gov/detailed-facility-report?fid=110020595934
"293 AMOCO ROAD RV PARK","293 AMOCO RD",HACKBERRY,LA,110070391709,Y,11,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110070391709
"29TH & SPEER BOULEVARD SANITARY SEWER PROJECT","29 AND SPEER BLVD",DENVER,CO,110071081112,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071081112
"2DA PROPERTIES LLC","54033 HWY 1062",LORANGER,LA,110064427687,Y,10,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110064427687
"2GRACES, LLC","4040 DESOTO ST.",MANDEVILLE,LA,110037492102,Y,7,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110037492102
"3 M&H LAND AND CATTLE LLC (FORMERLY PANHANDLE FEEDERS OF SHATTUCK, LLC)","ROUTE 2, BOX 11",GAGE,OK,110011014428,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110011014428
"3-D SALVAGE, INC.","3064 ARNOLD MINE ROAD","ELK GARDEN",WV,110010871208,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010871208
"303 DOMESTIC WTR IMPRO DIST","303 DOMESTIC",ADAMANA,AZ,110017890834,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110017890834
"303 THIRD STREET","303 THIRD STREET",CAMBRIDGE,MA,110071404624,Y,1,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071404624
"3100 PEARL","3100 PEARL PKWY",BOULDER,CO,110046315279,Y,12,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110046315279
"323 NORTH OLDEN AVENUE","323 N OLDEN AVE",TRENTON,NJ,110070125904,Y,12,0,0,Y,11,https://echo.epa.gov/detailed-facility-report?fid=110070125904
"3332 COLORADO SPRINGS TRUSS","720 PAONIA ST","COLORADO SPRINGS",CO,110070373169,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070373169
"3333 COLORADO SPRINGS MILLWORK","1805 S ACADEMY BLVD","COLORADO SPRINGS",CO,110070362341,Y,12,0,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110070362341
"341 OSSIPEE LLC",,WESTBROOK,ME,110052681898,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110052681898
"34501 EAST QUINCY AVENUE WWTF","34501 E QUINCY AVE",AURORA,CO,110037456589,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110037456589
"34TH STREET PLAT","1125 S 34TH ST",TACOMA,WA,110071181972,Y,6,1,0,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110071181972
"35 STONE","3524 STONE WAY N",SEATTLE,WA,110071180393,Y,4,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071180393
"350 E KENDALL STREET GARAGE","350 EAST KENDALL ST",CAMBRIDGE,MA,110070543418,Y,2,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070543418
"355 CHESTNUT STREET","355 CHESTNUT STREET",NEEDHAM,MA,110070517895,Y,3,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070517895
"3785 YATES STREET","3785 YATES ST",DENVER,CO,110070152454,Y,8,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070152454
"3803 DOVE VALLEY MILLWORK","7881 S WHEELING ST",ENGLEWOOD,CO,110070362511,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070362511
"39 JOB","212 LAWSON DR",DYSART,PA,110070051692,Y,2,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070051692
"3B INTERNATIONAL LLC","100 BOMONT PL",TOTOWA,NJ,110071423121,Y,4,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071423121
"3D DEVELOPMENT LLC","CORNER OF BATTELLE BLVD & STEVENS DR",RICHLAND,WA,110070819649,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070819649
"3M ASTON","50 MILTON DR",ASTON,PA,110000336146,Y,2,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110000336146
"3M CANOGA PARK","8357 CANOGA AVE","CANOGA PARK",CA,110041962800,Y,12,4,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110041962800
"3M CO - GUIN","6675 US HIGHWAY 43",GUIN,AL,110000589159,Y,10,6,1,Y,2,https://echo.epa.gov/detailed-facility-report?fid=110000589159
"3M CO - WAUSAU DOWNTOWN","144 ROSECRANS ST",WAUSAU,WI,110000421776,Y,9,2,1,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110000421776
"3M CORDOVA","22614 ROUTE 84 NORTH",CORDOVA,IL,110013886875,Y,12,5,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110013886875
"3M COTTAGE GROVE CENTER","10746 INNOVATION ROAD","COTTAGE GROVE",MN,110000423667,Y,12,19,3,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110000423667
"3M TECHNICAL CERAMICS","780 PARK NORTH BLVD STE 110",CLARKSTON,GA,110043775965,Y,4,0,0,Y,9,https://echo.epa.gov/detailed-facility-report?fid=110043775965
"3M WAUSAU - GREYSTONE PLANT","4099 N 4TH AVE",WAUSAU,WI,110007332118,Y,12,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110007332118
"3R INC","242 CRAWFORD CIR",SPARTANBURG,SC,110043555658,Y,4,2,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110043555658
"3S SERVICES MIDLAND",,,,110070765851,Y,11,0,1,N,,https://echo.epa.gov/detailed-facility-report?fid=110070765851
"4 CORNER'S GRILL",,,,110070770988,Y,11,0,0,N,,https://echo.epa.gov/detailed-facility-report?fid=110070770988
"4 E SAND AND GRAVEL","120 CANDLEWOOD RD",BUFFALO,MO,110043476618,Y,12,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110043476618
"4000 ALPINE PKWY ZANESFIELD OH 43360 LLC","4000 ALPINE PKWY LOT J4",ZANESFIELD,OH,110055173146,Y,9,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110055173146
"40TH AVE SUBDIVISION",UNSPECIFIED,RIDGEFIELD,WA,110071181635,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071181635
"410 WSC-PLANT - US 82 PS","PO BOX 112",DETROIT,TX,110048840466,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110048840466
"417 SERVICES LLC","3526 MATNEY HOLLOW RD",SEYMOUR,MO,110070669389,Y,5,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070669389
"4201 APARTMENTS","4201 BRIDGEPORT WAY W","UNIVERSITY PLACE",WA,110071240869,Y,5,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071240869
"4225 E HALE","1194 ASH ST",DENVER,CO,110071401879,Y,2,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071401879
"43RD STREET INC","ONE 43RD STREET",PITTSBURGH,PA,110010988618,Y,2,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110010988618
"45554 SOUTHEAST NORTH BEND WAY","45554 SE NORTH BEND WAY","NORTH BEND",WA,110071254833,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071254833
"46TH AVENUE IMPROVEMENTS",UNSPECIFIED,LONGVIEW,WA,110071238365,Y,4,0,0,Y,3,https://echo.epa.gov/detailed-facility-report?fid=110071238365
"471 PIT","7795 FM 471 N","SAN ANTONIO",TX,110070178025,Y,1,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070178025
"474 PUTNAM PIKE",,,CT,110050021622,Y,1,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110050021622
"48FORTY BIRMINGHAM","1900 VANDERBILT RD.",BIRMINGHAM,AL,110070794468,Y,10,1,0,Y,12,https://echo.epa.gov/detailed-facility-report?fid=110070794468
"48FORTY SOLUTIONS","2555 MORELAND AVENUE, S.E.",ATLANTA,GA,110070838487,Y,3,0,0,Y,11,https://echo.epa.gov/detailed-facility-report?fid=110070838487
"48FORTY SOLUTIONS, LLC","3177 BIGLERVILLE ROAD",BIGLERVILLE,PA,110070312111,Y,3,3,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110070312111
"49 DEGREES NORTH MOUNTAIN RESORT","3311 FLOWERY TRAIL RD",CHEWELAH,WA,110071180966,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071180966
"49 HOLLY ROAD HEATING OIL SPILL","49 HOLLY RD",GIBBSBORO,NJ,110070595086,Y,12,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070595086
"49 SQUARE VENTURES WOOD RECYCLING FACILITY",CR39,MANCOS,CO,110054111322,Y,12,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110054111322
"4J MATERIALS","550 OLD BROCK RD",WEATHERFORD,TX,110069421316,Y,11,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069421316
"4L PROCESSING","5289 FM 69","WOOD COUNTY",TX,110064857837,Y,6,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110064857837
"4TH GEN FUELS LLC - KDMP 867-7042","US 119 AND 4 WHEELER RD",PARTRIDGE,KY,110071083765,Y,8,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071083765
"4TH ST NW STORMWATER UPGRADE",UNSPECIFIED,PUYALLUP,WA,110070517669,Y,9,3,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070517669
"4W OIL CO., LLC","WEST OF FALLS CITY","FALLS CITY",NE,110006706751,Y,4,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110006706751
"5 CEDARS WATER SYSTEM","ULUQUANCE DR",DEMING,WA,110012946009,Y,11,1,0,Y,I,https://echo.epa.gov/detailed-facility-report?fid=110012946009
"50 WEST LAUNDRY AND CAR WASH","HIGHWAY 50_WEST","WEST POINT",MS,110008520181,Y,8,1,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110008520181
"503 BATTLE GROUND SUBDIVISION",UNSPECIFIED,"BATTLE GROUND",WA,110071177467,Y,9,3,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177467
"5050 S SYRACUSE OFFICE TOWER","5050 S SYRACUSE ST",DENVER,CO,110069475632,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110069475632
"51 CARWASH, LLC","1000 SOUTHWEST RAILROAD AVE.",HAMMOND,LA,110069996184,Y,10,0,0,Y,12,https://echo.epa.gov/detailed-facility-report?fid=110069996184
"529 CRUSHER","62/180 AND 529",HOBBS,NM,110070941132,Y,3,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070941132
"5364 NORTH BEND RD","5364 NORTH BEND RD.",CINCINNATI,OH,110070939500,Y,9,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070939500
"563 PROVIDENCE-NEW LONDON TNPK",,,CT,110049888047,Y,11,0,0,Y,,https://echo.epa.gov/detailed-facility-report?fid=110049888047
"56TH ST AND CIRQUE DRIVE CORRIDOR IMPROVEMENTS PHASE 2",UNSPECIFIED,TACOMA,WA,110071178666,Y,9,0,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110071178666
"57 OLD TURNPIKE LLC-TREATMENT PLANT","57 OLD TURNPIKE ROAD",OLDWICK,NJ,110049188375,Y,8,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110049188375
"570 ADIT WASTE/TAILINGS SENATOR HIGHWAY","NO ADDRESS ON FILE",UNKNOWN,AZ,110071237083,Y,7,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071237083
"5751 ROUTE 209 LLC","PO BOX 543",SCIOTA,PA,110070067017,Y,12,7,2,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070067017
"58007 - KEYSTOP TRUCK CENTER (1)","4391 NASHVILLE RD",FRANKLIN,KY,110043368361,Y,5,1,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110043368361
"59TH AVE WAREHOUSE","435 S 59TH AVE",PHOENIX,AZ,110040771778,Y,12,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110040771778
"5TH PLAIN CREEK STATION LGI 2021","15306 NE FOURTH PLAIN BLVD",VANCOUVER,WA,110071178141,Y,6,1,0,Y,5,https://echo.epa.gov/detailed-facility-report?fid=110071178141
"5TH STREET TOWNHOMES",UNSPECIFIED,VANCOUVER,WA,110071176863,Y,9,0,0,Y,7,https://echo.epa.gov/detailed-facility-report?fid=110071176863
"61-1875 WATERWORKS ROAD-MUSKEGON","1875 WATERWORKS ROAD",MUSKEGON,MI,110070622166,Y,4,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070622166
"611 METALS RECYCLING FACILITY","6776 EASTON ROAD",PIPERSVILLE,PA,110055232412,Y,2,2,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110055232412
"615 S. MAIN - ANN ARBOR","615 SOUTH MAIN STREET","ANN ARBOR",MI,110070265015,Y,12,1,0,Y,4,https://echo.epa.gov/detailed-facility-report?fid=110070265015
"62/180 360 HOT PLANT",62/180,CARLSBAD,NM,110070938822,Y,3,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070938822
"62ND AVENUE COTTAGES",UNSPECIFIED,VANCOUVER,WA,110071177166,Y,5,2,0,Y,9,https://echo.epa.gov/detailed-facility-report?fid=110071177166
"6440 LAFAYETTE RD, LLC","6440 LAFAYETTE RD",MEDINA,OH,110070504721,Y,11,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070504721
"65 DEGREES","26474 NE 143RD PL",DUVALL,WA,110071177787,Y,5,0,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110071177787
"650 KENDALL B LLC, CAMBRIDGE","650 E KENDALL STREET",CAMBRIDGE,MA,110041919118,Y,2,0,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110041919118
"67TH AVE MARYSVILLE TOWNHOMES",UNSPECIFIED,MARYSVILLE,WA,110071179061,Y,7,0,0,Y,1,https://echo.epa.gov/detailed-facility-report?fid=110071179061
"698 ROADHOUSE","7495 ROUTE 6N",EDINBORO,PA,110000930039,Y,8,3,1,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110000930039
"7 DAZE LLC","1425 S VINEYARD AVE",ONTARIO,CA,110021004223,Y,6,0,0,Y,10,https://echo.epa.gov/detailed-facility-report?fid=110021004223
"7 ELEVEN NUMBER 41686","5191 W MILITARY HWY",CHESAPEAKE,VA,110070602444,Y,10,2,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070602444
"7 ELEVEN STORE 21344","2201 S BATTLEFIELD BLVD",CHESAPEAKE,VA,110070599777,Y,10,3,0,Y,0,https://echo.epa.gov/detailed-facility-report?fid=110070599777
